"Time","WhiteMt Barcroft Air Temp Avg degC","WhiteMt Barcroft Barometric Pressure Avg mb","WhiteMt Barcroft Rainfall Cumulative mm","WhiteMt Barcroft Rainfall mm","WhiteMt Barcroft Relative Humidity Avg %","WhiteMt Barcroft Snow Depth mm","WhiteMt Barcroft Total Solar Radiation Avg W/m^2","WhiteMt Barcroft Total Solar Radiation Std W/m^2","WhiteMt Barcroft Wind Speed Avg m/s"
"2021-06-01 00:00:00",4.032,651.3639,50.546,0,44.53,,0,0,2.272
"2021-06-01 00:10:00",3.995,651.3987,50.546,0,45.04,,0,0,2.139
"2021-06-01 00:20:00",3.864,651.3708,50.546,0,46.06,,0,0,2.222
"2021-06-01 00:30:00",3.841,651.3372,50.546,0,46.87,,0,0,2.489
"2021-06-01 00:40:00",3.743,651.3378,50.546,0,47.32,,0,0,1.867
"2021-06-01 00:50:00",3.653,651.3391,50.546,0,47.8,,0,0,1.803
"2021-06-01 01:00:00",3.556,651.3273,50.546,0,48.25,,0,0,1.71
"2021-06-01 01:10:00",3.58,651.3104,50.546,0,48.25,,0,0,1.742
"2021-06-01 01:20:00",3.655,651.3005,50.546,0,48.03,,0,0,1.689
"2021-06-01 01:30:00",3.531,651.3215,50.546,0,48.54,,0,0,1.697
"2021-06-01 01:40:00",3.557,651.2961,50.546,0,48.4,,0,0,1.49
"2021-06-01 01:50:00",3.513,651.2342,50.546,0,48.5,,0,0,1.385
"2021-06-01 02:00:00",3.585,651.2241,50.546,0,48.14,,0,0,1.408
"2021-06-01 02:10:00",3.615,651.2375,50.546,0,47.99,,0,0,1.417
"2021-06-01 02:20:00",3.505,651.2081,50.546,0,48.68,,0,0,1.134
"2021-06-01 02:30:00",3.32,651.1947,50.546,0,49.3,,0,0,1.19
"2021-06-01 02:40:00",3.365,651.197,50.546,0,49.19,,0,0,0.741
"2021-06-01 02:50:00",3.339,651.213,50.546,0,49.06,,0,0,0.037
"2021-06-01 03:00:00",3.148,651.1994,50.546,0,50.53,,0,0,1.044
"2021-06-01 03:10:00",2.297,651.1688,50.546,0,54.89,,0,0,0.448
"2021-06-01 03:20:00",1.967,651.1853,50.546,0,55.2,,0,0,0.012
"2021-06-01 03:30:00",1.932,651.1728,50.546,0,55.88,,0,0,0.527
"2021-06-01 03:40:00",1.698,651.2083,50.546,0,56.55,,0,0,0.002
"2021-06-01 03:50:00",1.671,651.2252,50.546,0,56.65,,0,0,0.652
"2021-06-01 04:00:00",1.74,651.1778,50.546,0,56.37,,0,0,0.904
"2021-06-01 04:10:00",1.452,651.1411,50.546,0,57.92,,0,0,0.75
"2021-06-01 04:20:00",1.8,651.1073,50.546,0,55.42,,1,0,0.991
"2021-06-01 04:30:00",2.087,651.189,50.546,0,53.94,,2,1,1.304
"2021-06-01 04:40:00",2.355,651.1474,50.546,0,53.93,,6,2,0.798
"2021-06-01 04:50:00",1.971,651.1383,50.546,0,56.53,,17,4,0.882
