# beam_index , zenith, azimuth, delay_ant0_by, delay_ant1_by, delay_ant2_by, delay_ant3_by
0,2.000,0.000,0,10,11,22
1,10.000,-45.000,0,7,19,26
2,10.000,-22.500,0,4,15,20
3,10.000,0.000,0,2,9,15
4,10.000,22.500,0,2,4,11
5,10.000,45.000,0,2,0,9
6,25.000,-47.000,0,2,31,28
7,25.000,-31.333,4,0,27,22
8,25.000,-15.667,8,0,22,17
9,25.000,0.000,11,0,16,11
10,25.000,15.667,13,0,9,6
11,25.000,31.333,13,0,2,1
12,25.000,47.000,17,6,0,2
13,40.000,-48.000,4,0,45,33
14,40.000,-36.000,11,0,43,29
15,40.000,-24.000,16,0,38,22
16,40.000,-12.000,21,0,32,16
17,40.000,0.000,25,0,26,10
18,40.000,12.000,27,0,18,4
19,40.000,24.000,30,3,11,0
20,40.000,36.000,35,9,8,0
21,40.000,48.000,37,13,4,0
22,68.000,-49.000,15,0,69,41
23,68.000,-40.091,22,0,66,36
24,68.000,-31.182,29,0,63,30
25,68.000,-22.273,35,0,58,24
26,68.000,-13.364,40,0,52,17
27,68.000,-4.455,44,0,44,10
28,68.000,4.455,47,0,36,3
29,68.000,13.364,53,5,31,0
30,68.000,22.273,60,11,28,0
31,68.000,31.182,66,18,26,0
32,68.000,40.091,69,22,21,0
33,68.000,49.000,71,27,16,0
34,90.000,-48.000,23,0,78,40
35,90.000,48.000,87,33,27,0
36,100.000,-42.000,31,0,77,34
37,100.000,-36.000,36,0,75,31
38,100.000,-30.000,40,0,72,26
39,100.000,-24.000,45,0,69,22
40,100.000,-18.000,48,0,64,16
41,100.000,-12.000,52,0,60,12
42,100.000,-6.000,55,0,54,7
43,100.000,0.000,57,0,48,1
44,100.000,6.000,62,3,46,0
45,100.000,12.000,69,9,45,0
46,100.000,18.000,74,13,43,0
47,100.000,24.000,79,18,41,0
48,100.000,30.000,83,22,38,0
49,100.000,36.000,86,26,36,0
50,100.000,42.000,88,30,32,0
