# beam_index , zenith, azimuth, delay_ant0_by, delay_ant1_by, delay_ant2_by, delay_ant3_by
0,2.000,0.000,0,15,4,27
1,10.000,-45.000,0,13,12,31
2,10.000,-22.500,0,9,7,25
3,10.000,0.000,0,7,1,20
4,10.000,22.500,4,11,0,20
5,10.000,45.000,7,14,0,21
6,25.000,-47.000,0,7,23,34
7,25.000,-31.333,0,1,15,24
8,25.000,-15.667,3,0,9,17
9,25.000,0.000,7,0,4,12
10,25.000,15.667,11,3,0,9
11,25.000,31.333,19,11,0,12
12,25.000,47.000,24,18,0,14
13,40.000,-48.000,0,0,34,35
14,40.000,-36.000,6,0,31,29
15,40.000,-24.000,12,0,27,23
16,40.000,-12.000,17,0,21,17
17,40.000,0.000,20,0,13,10
18,40.000,12.000,22,0,5,3
19,40.000,24.000,26,3,0,1
20,40.000,36.000,34,12,0,4
21,40.000,48.000,40,20,0,7
22,68.000,-49.000,11,0,59,43
23,68.000,-40.091,18,0,57,37
24,68.000,-31.182,25,0,53,32
25,68.000,-22.273,31,0,48,25
26,68.000,-13.364,36,0,42,18
27,68.000,-4.455,40,0,34,11
28,68.000,4.455,43,0,26,4
29,68.000,13.364,48,3,21,0
30,68.000,22.273,55,9,18,0
31,68.000,31.182,61,16,15,0
32,68.000,40.091,65,22,11,0
33,68.000,49.000,67,27,7,0
34,90.000,-48.000,20,0,71,42
35,90.000,48.000,82,31,18,0
36,100.000,-42.000,28,0,71,37
37,100.000,-36.000,33,0,69,33
38,100.000,-30.000,38,0,66,29
39,100.000,-24.000,42,0,62,24
40,100.000,-18.000,46,0,58,20
41,100.000,-12.000,49,0,53,14
42,100.000,-6.000,52,0,48,9
43,100.000,0.000,55,0,43,5
44,100.000,6.000,57,1,37,0
45,100.000,12.000,64,6,37,0
46,100.000,18.000,69,10,34,0
47,100.000,24.000,74,15,33,0
48,100.000,30.000,78,20,30,0
49,100.000,36.000,81,24,28,0
50,100.000,42.000,84,28,26,0
